shortPostcode,Year,Population
B30,2022,31214.938799006337
B30,2023,31355.718172989855
B30,2024,31488.039303679867
B30,2025,31613.991460894587
B31,2011,54302
B31,2012,54679.59065791364
B31,2013,55045.80204121747
B31,2014,55451.19454504947
B31,2015,55890.57179220396
B31,2016,56314.152179703815
B31,2017,56696.73615481957
B31,2018,57040.27819619531
B31,2019,57360.41983226378
B31,2020,57682.35828052156
B31,2021,57995.285074193394
B31,2022,58280.62187675843
B31,2023,58543.46748142261
B31,2024,58790.5209141942
B31,2025,59025.68299785098
B32,2011,38518
B32,2012,38785.83611950789
B32,2013,39045.600586048655
B32,2014,39333.15736964044
B32,2015,39644.820527643766
B32,2016,39945.27851014384
B32,2017,40216.6565358797
B32,2018,40460.34097383246
B32,2019,40687.42681851747
B32,2020,40915.78719474658
B32,2021,41137.75534027808
B32,2022,41340.153096552254
B32,2023,41526.59718701771
B32,2024,41701.83942714692
B32,2025,41868.64678485551
B33,2011,34513
B33,2012,34752.98722655838
B33,2013,34985.742069325956
B33,2014,35243.399457355015
B33,2015,35522.65670259539
B33,2016,35791.87385691351
B33,2017,36035.03471163654
B33,2018,36253.38148475725
B33,2019,36456.85554253838
B33,2020,36661.471609436856
B33,2021,36860.360092918054
B33,2022,37041.71306457521
B33,2023,37208.771190496445
B33,2024,37365.79220492033
B33,2025,37515.255373740016
B34,2011,19327
B34,2012,19461.390899883925
B34,2013,19591.731723520494
B34,2014,19736.017770472008
B34,2015,19892.399562224706
B34,2016,20043.158984515037
B34,2017,20179.327090423885
B34,2018,20301.599511949225
B34,2019,20415.54333354503
B34,2020,20530.126670981554
B34,2021,20641.502608171628
B34,2022,20743.058801003834
B34,2023,20836.609996196363
B34,2024,20924.54049038031
B34,2025,21008.23865234183
B35,2011,9971
B35,2012,10040.333660823853
B35,2013,10107.577845253936
B35,2014,10182.016515205483
B35,2015,10262.69550550745
B35,2016,10340.473857018647
B35,2017,10410.72439688604
B35,2018,10473.806008881133
B35,2019,10532.590809684763
B35,2020,10591.705543351633
B35,2021,10649.165545924316
B35,2022,10701.559440410263
B35,2023,10749.823473486513
B35,2024,10795.187728544624
B35,2025,10838.368479458803
B36,2011,34751
B36,2012,34992.64216701331
B36,2013,35227.00207606254
B36,2014,35486.43625713627
B36,2015,35767.61924700526
B36,2016,36038.692909964404
B36,2017,36283.53059033064
B36,2018,36503.383072372715
